iter	Passed	Remaining
0	152	151959
1	156	78116
2	161	53617
3	165	41112
4	169	33699
5	173	28782
6	178	25287
7	182	22634
8	187	20616
9	189	18803
10	192	17322
11	194	16034
12	196	14939
13	199	14034
14	200	13189
15	202	12455
16	204	11798
17	205	11208
18	206	10671
19	207	10190
20	209	9758
21	210	9364
22	211	9001
23	213	8687
24	214	8379
25	216	8098
26	217	7842
27	219	7604
28	220	7380
29	221	7169
30	223	6973
31	224	6789
32	225	6619
33	227	6462
34	228	6313
35	230	6165
36	231	6023
37	232	5886
38	233	5757
39	234	5634
40	235	5518
41	237	5407
42	238	5303
43	239	5202
44	240	5106
45	241	5016
46	243	4929
47	244	4844
48	245	4764
49	246	4686
50	247	4612
51	249	4540
52	250	4471
53	251	4405
54	252	4341
55	253	4280
56	255	4222
57	256	4166
58	257	4112
59	259	4059
60	260	4006
61	261	3955
62	262	3909
63	264	3862
64	265	3815
65	266	3770
66	267	3727
67	268	3684
68	270	3643
69	271	3605
70	272	3567
71	273	3528
72	274	3491
73	276	3455
74	277	3420
75	278	3386
76	279	3352
77	280	3319
78	282	3287
79	283	3257
80	284	3226
81	285	3199
82	286	3166
83	287	3140
84	289	3113
85	290	3086
86	291	3059
87	292	3033
88	293	3007
89	294	2982
90	296	2958
91	297	2934
92	298	2911
93	299	2887
94	301	2870
95	302	2849
96	303	2827
97	304	2806
98	306	2785
99	307	2765
100	308	2745
101	309	2726
102	310	2706
103	311	2687
104	313	2668
105	314	2650
106	315	2634
107	316	2617
108	318	2600
109	319	2583
110	320	2567
111	321	2551
112	322	2534
113	324	2518
114	325	2503
115	326	2488
116	327	2472
117	328	2457
118	330	2444
119	331	2433
120	333	2419
121	334	2404
122	335	2390
123	336	2376
124	337	2363
125	338	2350
126	339	2336
127	341	2323
128	342	2311
129	343	2298
130	344	2285
131	346	2276
132	347	2264
133	348	2252
134	349	2241
135	351	2230
136	352	2218
137	353	2207
138	354	2197
139	355	2186
140	357	2174
141	357	2161
142	358	2151
143	360	2141
144	361	2131
145	362	2122
146	364	2112
147	365	2102
